0519,表外音訓です。,賢,サカ,さか(しい),,,,,形容詞,自立,*,*,形容詞・イ段,,賢しい,,
0519,表外音訓です。,賢,サカ,さか(しい),賢しげ,1287,1287,4845,名詞,形容動詞語幹,*,*,*,*,賢しげ,サカシゲ,サカシゲ
0519,表外音訓です。,賢,サカ,さか(しい),賢しら,1287,1287,4845,名詞,形容動詞語幹,*,*,*,*,賢しら,サカシラ,サカシラ
