0239,表外音訓です。,甘,ウマ,うま(い),,,,,形容詞,自立,*,*,形容詞・アウオ段,,甘い,,
0239,表外音訓です。,甘,ウマ,うま(い),甘み,1285,1285,5636,名詞,一般,*,*,*,*,甘み,ウマミ,ウマミ
0239,表外音訓です。,甘,ウマ,うま(い),甘煮,1285,1285,5622,名詞,一般,*,*,*,*,甘煮,ウマニ,ウマニ
